document_nid,filename,fid,uri,download_url,local_path
36271396,2026년 5월 업무추진비 집행내역 공개.xlsx,236924,/sites/default/files/expense_new/202606/236924.xlsx,https://opengov.seoul.go.kr/og/com/download.php?nid=36271396&dtype=basic&rid=&fid=236924&uri=%2Fsites%2Fdefault%2Ffiles%2Fexpense_new%2F202606%2F236924.xlsx&dname=2026%EB%85%84+5%EC%9B%94+%EC%97%85%EB%AC%B4%EC%B6%94%EC%A7%84%EB%B9%84+%EC%A7%91%ED%96%89%EB%82%B4%EC%97%AD+%EA%B3%B5%EA%B0%9C.xlsx,data/raw_attachments/202605_36271396_236924_2026년_5월_업무추진비_집행내역_공개.xlsx
36044953,2026년 4월 업무추진비 집행내역 공개.xlsx,235739,/sites/default/files/expense_new/202605/235739.xlsx,https://opengov.seoul.go.kr/og/com/download.php?nid=36044953&dtype=basic&rid=&fid=235739&uri=%2Fsites%2Fdefault%2Ffiles%2Fexpense_new%2F202605%2F235739.xlsx&dname=2026%EB%85%84+4%EC%9B%94+%EC%97%85%EB%AC%B4%EC%B6%94%EC%A7%84%EB%B9%84+%EC%A7%91%ED%96%89%EB%82%B4%EC%97%AD+%EA%B3%B5%EA%B0%9C.xlsx,data/raw_attachments/202604_36044953_235739_2026년_4월_업무추진비_집행내역_공개.xlsx
35845475,2026년 3월 업무추진비 집행내역 공개.xlsx,234574,/sites/default/files/expense_new/202604/234574.xlsx,https://opengov.seoul.go.kr/og/com/download.php?nid=35845475&dtype=basic&rid=&fid=234574&uri=%2Fsites%2Fdefault%2Ffiles%2Fexpense_new%2F202604%2F234574.xlsx&dname=2026%EB%85%84+3%EC%9B%94+%EC%97%85%EB%AC%B4%EC%B6%94%EC%A7%84%EB%B9%84+%EC%A7%91%ED%96%89%EB%82%B4%EC%97%AD+%EA%B3%B5%EA%B0%9C.xlsx,data/raw_attachments/202603_35845475_234574_2026년_3월_업무추진비_집행내역_공개.xlsx
35595091,2026년 2월 업무추진비 집행내역 공개.xlsx,233619,/sites/default/files/expense_new/202603/233619.xlsx,https://opengov.seoul.go.kr/og/com/download.php?nid=35595091&dtype=basic&rid=&fid=233619&uri=%2Fsites%2Fdefault%2Ffiles%2Fexpense_new%2F202603%2F233619.xlsx&dname=2026%EB%85%84+2%EC%9B%94+%EC%97%85%EB%AC%B4%EC%B6%94%EC%A7%84%EB%B9%84+%EC%A7%91%ED%96%89%EB%82%B4%EC%97%AD+%EA%B3%B5%EA%B0%9C.xlsx,data/raw_attachments/202602_35595091_233619_2026년_2월_업무추진비_집행내역_공개.xlsx
35434661,2026년 1월 업무추진비 집행내역 공개.xlsx,232605,/sites/default/files/expense_new/202602/232605.xlsx,https://opengov.seoul.go.kr/og/com/download.php?nid=35434661&dtype=basic&rid=&fid=232605&uri=%2Fsites%2Fdefault%2Ffiles%2Fexpense_new%2F202602%2F232605.xlsx&dname=2026%EB%85%84+1%EC%9B%94+%EC%97%85%EB%AC%B4%EC%B6%94%EC%A7%84%EB%B9%84+%EC%A7%91%ED%96%89%EB%82%B4%EC%97%AD+%EA%B3%B5%EA%B0%9C.xlsx,data/raw_attachments/202601_35434661_232605_2026년_1월_업무추진비_집행내역_공개.xlsx
35175495,2025년 12월 업무추진비 집행내역 공개.xlsx,230848,/sites/default/files/expense_new/202601/230848.xlsx,https://opengov.seoul.go.kr/og/com/download.php?nid=35175495&dtype=basic&rid=&fid=230848&uri=%2Fsites%2Fdefault%2Ffiles%2Fexpense_new%2F202601%2F230848.xlsx&dname=2025%EB%85%84+12%EC%9B%94+%EC%97%85%EB%AC%B4%EC%B6%94%EC%A7%84%EB%B9%84+%EC%A7%91%ED%96%89%EB%82%B4%EC%97%AD+%EA%B3%B5%EA%B0%9C.xlsx,data/raw_attachments/202512_35175495_230848_2025년_12월_업무추진비_집행내역_공개.xlsx
34939673,2025년 11월 업무추진비 집행내역 공개.xlsx,230120,/sites/default/files/expense_new/202512/230120.xlsx,https://opengov.seoul.go.kr/og/com/download.php?nid=34939673&dtype=basic&rid=&fid=230120&uri=%2Fsites%2Fdefault%2Ffiles%2Fexpense_new%2F202512%2F230120.xlsx&dname=2025%EB%85%84+11%EC%9B%94+%EC%97%85%EB%AC%B4%EC%B6%94%EC%A7%84%EB%B9%84+%EC%A7%91%ED%96%89%EB%82%B4%EC%97%AD+%EA%B3%B5%EA%B0%9C.xlsx,data/raw_attachments/202511_34939673_230120_2025년_11월_업무추진비_집행내역_공개.xlsx
34711204,2025년 10월 업무추진비 집행내역 공개.xlsx,229206,/sites/default/files/expense_new/202511/229206.xlsx,https://opengov.seoul.go.kr/og/com/download.php?nid=34711204&dtype=basic&rid=&fid=229206&uri=%2Fsites%2Fdefault%2Ffiles%2Fexpense_new%2F202511%2F229206.xlsx&dname=2025%EB%85%84+10%EC%9B%94+%EC%97%85%EB%AC%B4%EC%B6%94%EC%A7%84%EB%B9%84+%EC%A7%91%ED%96%89%EB%82%B4%EC%97%AD+%EA%B3%B5%EA%B0%9C.xlsx,data/raw_attachments/202510_34711204_229206_2025년_10월_업무추진비_집행내역_공개.xlsx
34483985,2025년 9월 업무추진비 집행내역 공개.xlsx,228236,/sites/default/files/expense_new/202510/228236.xlsx,https://opengov.seoul.go.kr/og/com/download.php?nid=34483985&dtype=basic&rid=&fid=228236&uri=%2Fsites%2Fdefault%2Ffiles%2Fexpense_new%2F202510%2F228236.xlsx&dname=2025%EB%85%84+9%EC%9B%94+%EC%97%85%EB%AC%B4%EC%B6%94%EC%A7%84%EB%B9%84+%EC%A7%91%ED%96%89%EB%82%B4%EC%97%AD+%EA%B3%B5%EA%B0%9C.xlsx,data/raw_attachments/202509_34483985_228236_2025년_9월_업무추진비_집행내역_공개.xlsx
34299595,2025년 8월 업무추진비 집행내역 공개.xlsx,227326,/sites/default/files/expense_new/202509/227326.xlsx,https://opengov.seoul.go.kr/og/com/download.php?nid=34299595&dtype=basic&rid=&fid=227326&uri=%2Fsites%2Fdefault%2Ffiles%2Fexpense_new%2F202509%2F227326.xlsx&dname=2025%EB%85%84+8%EC%9B%94+%EC%97%85%EB%AC%B4%EC%B6%94%EC%A7%84%EB%B9%84+%EC%A7%91%ED%96%89%EB%82%B4%EC%97%AD+%EA%B3%B5%EA%B0%9C.xlsx,data/raw_attachments/202508_34299595_227326_2025년_8월_업무추진비_집행내역_공개.xlsx
