document_nid,document_title,document_expense_year,document_expense_month,document_published_date,document_source_url,list_sources,source_file,sheet_name,source_row_number,expense_no,spent_at_raw,spent_date,place_raw,merchant_name,address,purpose,amount_krw,people,payment_method,expense_category,is_food_related,food_include_keyword,food_exclude_keyword
36044953,2026년 4월 서울시본청 서울특별시장 업무추진비 - 기관운영 시책추진,2026,4,2026-05-08,https://opengov.seoul.go.kr/expense/36044953,dept_6110001;monthly_mayor_2026_04;search_seoul_special_mayor,data/raw_attachments/202604_36044953_235739_2026년_4월_업무추진비_집행내역_공개.xlsx,업무추진비,6,,,,서울시청 간담회장(서울특별시 중구 세종대로 110),서울시청 간담회장,서울특별시 중구 세종대로 110,주요 정책 추진 관련 의견수렴 간담회,390000,시장 외 12명,카드,시정 관련 간담회 등,True,간담회,
36044953,2026년 4월 서울시본청 서울특별시장 업무추진비 - 기관운영 시책추진,2026,4,2026-05-08,https://opengov.seoul.go.kr/expense/36044953,dept_6110001;monthly_mayor_2026_04;search_seoul_special_mayor,data/raw_attachments/202604_36044953_235739_2026년_4월_업무추진비_집행내역_공개.xlsx,업무추진비,7,,,,서울시청 간담회장(서울특별시 중구 세종대로 110),서울시청 간담회장,서울특별시 중구 세종대로 110,시정 주요 현안 검토 간담회,150000,시장 외 4명,카드,현업-우수부서 격려 등,True,간담회,
36044953,2026년 4월 서울시본청 서울특별시장 업무추진비 - 기관운영 시책추진,2026,4,2026-05-08,https://opengov.seoul.go.kr/expense/36044953,dept_6110001;monthly_mayor_2026_04;search_seoul_special_mayor,data/raw_attachments/202604_36044953_235739_2026년_4월_업무추진비_집행내역_공개.xlsx,업무추진비,8,,,,일품당 프리미엄(서울특별시 종로구 새문안로5가길 7),일품당 프리미엄,서울특별시 종로구 새문안로5가길 7,시정 현안 관련 업무협의 간담회,376000,시장 외 7명,카드,현업-우수부서 격려 등,True,간담회,
36044953,2026년 4월 서울시본청 서울특별시장 업무추진비 - 기관운영 시책추진,2026,4,2026-05-08,https://opengov.seoul.go.kr/expense/36044953,dept_6110001;monthly_mayor_2026_04;search_seoul_special_mayor,data/raw_attachments/202604_36044953_235739_2026년_4월_업무추진비_집행내역_공개.xlsx,업무추진비,9,,,,초록과일(서울특별시 강동구 상암로11길 12),초록과일,서울특별시 강동구 상암로11길 12,현안업무 추진 직원 격려 간식 비용 지급,895000,대외협력과 직원 등 41명,카드,현업-우수부서 격려 등,True,간식,
36044953,2026년 4월 서울시본청 서울특별시장 업무추진비 - 기관운영 시책추진,2026,4,2026-05-08,https://opengov.seoul.go.kr/expense/36044953,dept_6110001;monthly_mayor_2026_04;search_seoul_special_mayor,data/raw_attachments/202604_36044953_235739_2026년_4월_업무추진비_집행내역_공개.xlsx,업무추진비,10,,,,서울시청 간담회장(서울특별시 중구 세종대로 110),서울시청 간담회장,서울특별시 중구 세종대로 110,주요 정책 추진현황 등 점검 간담회,240000,시장 외 7명,카드,현업-우수부서 격려 등,True,간담회,
36044953,2026년 4월 서울시본청 서울특별시장 업무추진비 - 기관운영 시책추진,2026,4,2026-05-08,https://opengov.seoul.go.kr/expense/36044953,dept_6110001;monthly_mayor_2026_04;search_seoul_special_mayor,data/raw_attachments/202604_36044953_235739_2026년_4월_업무추진비_집행내역_공개.xlsx,업무추진비,11,,,,서울시청 간담회장(서울특별시 중구 세종대로 110),서울시청 간담회장,서울특별시 중구 세종대로 110,시책사업 추진 관련 의견수렴 간담회,420000,시장 외 13명,카드,시정 관련 간담회 등,True,간담회,
36044953,2026년 4월 서울시본청 서울특별시장 업무추진비 - 기관운영 시책추진,2026,4,2026-05-08,https://opengov.seoul.go.kr/expense/36044953,dept_6110001;monthly_mayor_2026_04;search_seoul_special_mayor,data/raw_attachments/202604_36044953_235739_2026년_4월_업무추진비_집행내역_공개.xlsx,업무추진비,14,,,,서울시청 간담회장(서울특별시 중구 세종대로 110),서울시청 간담회장,서울특별시 중구 세종대로 110,시책사업 추진 관련 전문가 자문 간담회,480000,시장 외 15명,카드,시정 관련 간담회 등,True,간담회,
36044953,2026년 4월 서울시본청 서울특별시장 업무추진비 - 기관운영 시책추진,2026,4,2026-05-08,https://opengov.seoul.go.kr/expense/36044953,dept_6110001;monthly_mayor_2026_04;search_seoul_special_mayor,data/raw_attachments/202604_36044953_235739_2026년_4월_업무추진비_집행내역_공개.xlsx,업무추진비,15,,,,서울시청 간담회장(서울특별시 중구 세종대로 110),서울시청 간담회장,서울특별시 중구 세종대로 110,주요 시책사업 추진 방안 논의 간담회,150000,시장 외 4명,카드,시정 관련 간담회 등,True,간담회,
36044953,2026년 4월 서울시본청 서울특별시장 업무추진비 - 기관운영 시책추진,2026,4,2026-05-08,https://opengov.seoul.go.kr/expense/36044953,dept_6110001;monthly_mayor_2026_04;search_seoul_special_mayor,data/raw_attachments/202604_36044953_235739_2026년_4월_업무추진비_집행내역_공개.xlsx,업무추진비,16,,,,서울시청 간담회장(서울특별시 중구 세종대로 110),서울시청 간담회장,서울특별시 중구 세종대로 110,시정 주요 현안 검토 간담회,120000,시장 외 3명,카드,현업-우수부서 격려 등,True,간담회,
36044953,2026년 4월 서울시본청 서울특별시장 업무추진비 - 기관운영 시책추진,2026,4,2026-05-08,https://opengov.seoul.go.kr/expense/36044953,dept_6110001;monthly_mayor_2026_04;search_seoul_special_mayor,data/raw_attachments/202604_36044953_235739_2026년_4월_업무추진비_집행내역_공개.xlsx,업무추진비,17,,,,서울시청 간담회장(서울특별시 중구 세종대로 110),서울시청 간담회장,서울특별시 중구 세종대로 110,주요 현안 관련 관계자 업무협의 간담회,180000,시장 외 5명,카드,현업-우수부서 격려 등,True,간담회,
36044953,2026년 4월 서울시본청 서울특별시장 업무추진비 - 기관운영 시책추진,2026,4,2026-05-08,https://opengov.seoul.go.kr/expense/36044953,dept_6110001;monthly_mayor_2026_04;search_seoul_special_mayor,data/raw_attachments/202604_36044953_235739_2026년_4월_업무추진비_집행내역_공개.xlsx,업무추진비,18,,,,서울시청 간담회장(서울특별시 중구 세종대로 110),서울시청 간담회장,서울특별시 중구 세종대로 110,주요 정책 추진 관련 의견수렴 간담회,270000,시장 외 8명,카드,시정 관련 간담회 등,True,간담회,
36044953,2026년 4월 서울시본청 서울특별시장 업무추진비 - 기관운영 시책추진,2026,4,2026-05-08,https://opengov.seoul.go.kr/expense/36044953,dept_6110001;monthly_mayor_2026_04;search_seoul_special_mayor,data/raw_attachments/202604_36044953_235739_2026년_4월_업무추진비_집행내역_공개.xlsx,업무추진비,19,,,,서울시청 간담회장(서울특별시 용산구 한남대로 138),서울시청 간담회장,서울특별시 용산구 한남대로 138,주요 현안 관련 관계자 업무협의 간담회,90000,시장 외 2명,카드,현업-우수부서 격려 등,True,간담회,
36044953,2026년 4월 서울시본청 서울특별시장 업무추진비 - 기관운영 시책추진,2026,4,2026-05-08,https://opengov.seoul.go.kr/expense/36044953,dept_6110001;monthly_mayor_2026_04;search_seoul_special_mayor,data/raw_attachments/202604_36044953_235739_2026년_4월_업무추진비_집행내역_공개.xlsx,업무추진비,20,,,,밀밭정원(서울특별시 마포구 마포대로16길 13),밀밭정원,서울특별시 마포구 마포대로16길 13,시정 현안 관련 업무협의 간담회,80000,시장 외 2명,카드,현업-우수부서 격려 등,True,간담회,
36044953,2026년 4월 서울시본청 서울특별시장 업무추진비 - 기관운영 시책추진,2026,4,2026-05-08,https://opengov.seoul.go.kr/expense/36044953,dept_6110001;monthly_mayor_2026_04;search_seoul_special_mayor,data/raw_attachments/202604_36044953_235739_2026년_4월_업무추진비_집행내역_공개.xlsx,업무추진비,21,,,,서울시청 간담회장(서울특별시 중구 세종대로 110),서울시청 간담회장,서울특별시 중구 세종대로 110,주요 정책 추진현황 등 점검 간담회,120000,시장 외 3명,카드,현업-우수부서 격려 등,True,간담회,
36044953,2026년 4월 서울시본청 서울특별시장 업무추진비 - 기관운영 시책추진,2026,4,2026-05-08,https://opengov.seoul.go.kr/expense/36044953,dept_6110001;monthly_mayor_2026_04;search_seoul_special_mayor,data/raw_attachments/202604_36044953_235739_2026년_4월_업무추진비_집행내역_공개.xlsx,업무추진비,22,,,,초록애(서울특별시 동작구 여의대방로54길 5),초록애,서울특별시 동작구 여의대방로54길 5,주요 현안 관련 관계자 업무협의 간담회,152000,시장 외 6명,카드,현업-우수부서 격려 등,True,간담회,
36044953,2026년 4월 서울시본청 서울특별시장 업무추진비 - 기관운영 시책추진,2026,4,2026-05-08,https://opengov.seoul.go.kr/expense/36044953,dept_6110001;monthly_mayor_2026_04;search_seoul_special_mayor,data/raw_attachments/202604_36044953_235739_2026년_4월_업무추진비_집행내역_공개.xlsx,업무추진비,23,,,,인사동보리밥(서울특별시 종로구 인사동7길 37),인사동보리밥,서울특별시 종로구 인사동7길 37,주요 시책사업 추진 방안 논의 간담회,144700,시장 외 7명,카드,시정 관련 간담회 등,True,간담회,
36044953,2026년 4월 서울시본청 서울특별시장 업무추진비 - 기관운영 시책추진,2026,4,2026-05-08,https://opengov.seoul.go.kr/expense/36044953,dept_6110001;monthly_mayor_2026_04;search_seoul_special_mayor,data/raw_attachments/202604_36044953_235739_2026년_4월_업무추진비_집행내역_공개.xlsx,업무추진비,24,,,,홍두깨칼국수(서울특별시 중구 퇴계로85길 11),홍두깨칼국수,서울특별시 중구 퇴계로85길 11,시책사업 추진 관련 업무협의 간담회,66000,시장 외 5명,카드,시정 관련 간담회 등,True,국수,
36044953,2026년 4월 서울시본청 서울특별시장 업무추진비 - 기관운영 시책추진,2026,4,2026-05-08,https://opengov.seoul.go.kr/expense/36044953,dept_6110001;monthly_mayor_2026_04;search_seoul_special_mayor,data/raw_attachments/202604_36044953_235739_2026년_4월_업무추진비_집행내역_공개.xlsx,업무추진비,25,,,,서울시청 간담회장(서울특별시 용산구 한남대로 138),서울시청 간담회장,서울특별시 용산구 한남대로 138,주요 정책 추진 관련 의견수렴 간담회,210000,시장 외 6명,카드,시정 관련 간담회 등,True,간담회,
36044953,2026년 4월 서울시본청 서울특별시장 업무추진비 - 기관운영 시책추진,2026,4,2026-05-08,https://opengov.seoul.go.kr/expense/36044953,dept_6110001;monthly_mayor_2026_04;search_seoul_special_mayor,data/raw_attachments/202604_36044953_235739_2026년_4월_업무추진비_집행내역_공개.xlsx,업무추진비,26,,,,이루팜(서울특별시 서초구 서초대로 301),이루팜,서울특별시 서초구 서초대로 301,현안업무 추진 직원 격려 간식 비용 지급,375000,고독대응과 직원 등 20명,카드,현업-우수부서 격려 등,True,간식,
