merchant_name,address,transaction_count,total_amount_krw,average_amount_krw,first_spent_date,last_spent_date,sample_purpose,sample_source_url
,,46,388782667,8451797,,,연말 현안업무 추진직원 격려 다과비 지원,https://opengov.seoul.go.kr/expense/35175495
서울시청 간담회장,서울특별시 중구 세종대로 110,625,200966000,321546,,,주요 정책 추진 관련 의견수렴 간담회,https://opengov.seoul.go.kr/expense/36044953
서울시청 간담회장,서울특별시 용산구 한남대로 138,388,93576000,241175,,,주요 현안 관련 관계자 업무협의 간담회,https://opengov.seoul.go.kr/expense/36044953
서울시청 구내식당,서울시 중구 세종대로 110,67,62308400,929976,,,신년맞이 현안업무 추진직원(본관) 격려비용 지출,https://opengov.seoul.go.kr/expense/32793654
서울시청 간담회장,서울 중구 세종대로 110,294,56074500,190730,,,주요시정 의견수렴 간담회,https://opengov.seoul.go.kr/expense/27621905
본청직원,,1,42304000,42304000,,,2018년 송년다과회 경비지원,https://opengov.seoul.go.kr/expense/17877664
NC백화점,서울특별시 구로구 구로중앙로 152,4,28843000,7210750,,,연말 현장근무자 격려품 구매 비용 지급,https://opengov.seoul.go.kr/expense/35175495
우정사업본부우체국,서울 종로구 종로 6,6,27800000,4633333,,,추석명절 유관기관 격려,https://opengov.seoul.go.kr/expense/16691765
서울시청구내식당,서울 중구 덕수궁길 15,59,27243000,461746,,,시정추진 유관기관 간담회,https://opengov.seoul.go.kr/expense/23276464
선우,서울특별시 서대문구 연희로32길 48,3,26359000,8786333,,,동계 현업근무자 격려품 구매비용 지급,https://opengov.seoul.go.kr/expense/30115407
서도산업(주),대구 동구 화랑로99길 9,1,25575000,25575000,,,한파대책·단속점검 등 현장근무자 격려품 지급,https://opengov.seoul.go.kr/expense/25159958
우정사업본부,종로구 종로 6,6,24860000,4143333,,,설 명절 유관기관 격려,https://opengov.seoul.go.kr/expense/15645696
（주）미스터피자 청,,19,24827200,1306695,,,총무과 종무식 직원격려 간담회 다과구입,https://opengov.seoul.go.kr/expense/17877664
피자알볼로,서울특별시 서대문구 경기대로 68,24,24308050,1012835,,,현안업무 추진 직원 격려 간식 비용 지급,https://opengov.seoul.go.kr/expense/34077501
피자알볼로 서대문점,서울시 종로구 통일로 156,42,21941300,522412,,,코로나 19 대응 의료기관 방문 직원 격려,https://opengov.seoul.go.kr/expense/19942581
한화갤러리아,서울 마포구 마포대로 217,3,21489560,7163187,,,연말 현장근무자 격려품 구매 비용 지급,https://opengov.seoul.go.kr/expense/32608445
신한은행 서울시청금융센터,서울 중구 세종대로 110,3,19350000,6450000,,,설 명절 현업근무자 격려품 구입(교통지도 단속반 등),https://opengov.seoul.go.kr/expense/27822602
서울시청신매점,서울 중구 세종대로 110,6,17933400,2988900,,,설 명절 종합상황실 비상근무자 격려품 구입,https://opengov.seoul.go.kr/expense/32793654
신한은행,서울특별시 중구 태평로2가,2,17850000,8925000,,,설 명절 현업근무자 격려품 구입,https://opengov.seoul.go.kr/expense/35595091
패트릭스와플,서울특별시 영등포구 의사당대로 108,24,16110800,671283,,,명절 연휴 현장방문 담당부서 직원 등 격려간식 구매,https://opengov.seoul.go.kr/expense/29656011
서울시청 서소문청사 구내식당,서울 중구 덕수궁길 15,3,15216000,5072000,,,신년맞이 현안업무 추진직원(서소문) 격려비용 지출,https://opengov.seoul.go.kr/expense/32793654
초록과일,서울특별시 강동구 상암로11길 12,10,14118000,1411800,,,현안업무 추진 직원 격려 간식 비용 지급,https://opengov.seoul.go.kr/expense/36044953
서울시청구내식당,서울 중구 세종대로 110,22,14096500,640750,,,서울특별시 혁신성장위원회 위촉식 및 조찬간담회,https://opengov.seoul.go.kr/expense/16703214
미스터피자정동점,,9,13864585,1540509,,,광화문 광장 추진반 도시재생 시민 프로젝트 추진격려,https://opengov.seoul.go.kr/expense/17877664
서울시청구내식당,중구 세종대로,21,12705000,605000,,,시정 현안 추진 주무과장 간담회,https://opengov.seoul.go.kr/expense/14564930
피자알볼로 서대문점(서울특별시 서대문구 경기대로 68 ),충정로2가,27,11457900,424367,,,현안 관련 격무부서 격려,https://opengov.seoul.go.kr/expense/23865424
에그드랍,서울특별시 마포구 마포대로 68,19,11421400,601126,,,현안업무 추진 직원 격려 간식 비용 지급,https://opengov.seoul.go.kr/expense/32377535
서울시청구내식당,중구 세종대로 110,18,11417000,634278,,,서울 베이징 통합위원회 오찬 간담회,https://opengov.seoul.go.kr/expense/15135974
