nid,title,published_date,list_sources,source_url,expense_year,expense_month
36271396,2026년 5월 서울시본청 서울특별시장 업무추진비 - 기관운영,2026-06-10,dept_6110001;monthly_mayor_2026_05;search_seoul_special_mayor,https://opengov.seoul.go.kr/expense/36271396,2026,5
36044953,2026년 4월 서울시본청 서울특별시장 업무추진비 - 기관운영 시책추진,2026-05-08,dept_6110001;monthly_mayor_2026_04;search_seoul_special_mayor,https://opengov.seoul.go.kr/expense/36044953,2026,4
35845475,2026년 3월 서울시본청 서울특별시장 업무추진비 - 기관운영 시책추진,2026-04-09,dept_6110001;monthly_mayor_2026_03;search_seoul_special_mayor,https://opengov.seoul.go.kr/expense/35845475,2026,3
35595091,2026년 2월 서울시본청 서울특별시장 업무추진비 - 기관운영 시책추진,2026-03-09,dept_6110001;monthly_mayor_2026_02;search_mayor_office;search_seoul_special_mayor,https://opengov.seoul.go.kr/expense/35595091,2026,2
35434661,2026년 1월 서울시본청 서울특별시장 업무추진비 - 기관운영 시책추진,2026-02-11,dept_6110001;monthly_mayor_2026_01;search_seoul_special_mayor,https://opengov.seoul.go.kr/expense/35434661,2026,1
35175495,2025년 12월 서울시본청 서울특별시장 업무추진비 - 기관운영 시책추진,2026-01-06,dept_6110001;monthly_mayor_2025_12;search_seoul_special_mayor,https://opengov.seoul.go.kr/expense/35175495,2025,12
34939673,2025년 11월 서울시본청 서울특별시장 업무추진비 - 기관운영 시책추진,2025-12-08,dept_6110001;monthly_mayor_2025_11;search_seoul_special_mayor,https://opengov.seoul.go.kr/expense/34939673,2025,11
34711204,2025년 10월 서울시본청 서울특별시장 업무추진비 - 기관운영 시책추진,2025-11-10,dept_6110001;monthly_mayor_2025_10;search_mayor_office;search_seoul_special_mayor,https://opengov.seoul.go.kr/expense/34711204,2025,10
34483985,2025년 9월 서울시본청 서울특별시장 업무추진비 - 기관운영 시책추진,2025-10-10,dept_6110001;monthly_mayor_2025_09;search_seoul_special_mayor,https://opengov.seoul.go.kr/expense/34483985,2025,9
34299595,2025년 8월 서울시본청 서울특별시장 업무추진비 - 기관운영 시책추진,2025-09-10,dept_6110001;monthly_mayor_2025_08;search_seoul_special_mayor,https://opengov.seoul.go.kr/expense/34299595,2025,8
